ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)	Disease comment	Subunits comment	Complex comment	SWISSPROT organism
5282	CAS-SRC-FAK complex	Human	None	None	P12931;P56945;Q05397	6714;9564;5747	MI:0019- coimmunoprecipitation	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	30.05.01.12	transmembrane receptor protein tyrosine kinase signalling pathways	9148935	Proto-oncogene tyrosine-protein kinase Src;Breast cancer anti-estrogen resistance protein 1;Focal adhesion kinase 1	SRC;BCAR1;PTK2	SRC1;CAS CASS1 CRKAS;FAK FAK1	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5283	tRNA splicing endonuclease	Human	None	None	Q7Z6J9;Q8NCE0;Q8WW01;Q92989;Q9BSV6	283989;80746;116461;10978;79042	MI:0004- affinity chromatography technologies	GO:0008033;GO:0000398;GO:0006397;GO:0005634	tRNA processing;mRNA splicing, via spliceosome;mRNA processing;nucleus	11.04.02;11.04.03;70.10	tRNA processing;mRNA processing (splicing, 5'-, 3'-end processing);nucleus	15109492	tRNA-splicing endonuclease subunit Sen54 ;tRNA-splicing endonuclease subunit Sen2 ;tRNA-splicing endonuclease subunit Sen15 ;Polyribonucleotide 5'-hydroxyl-kinase Clp1 ;tRNA-splicing endonuclease subunit Sen34	TSEN54;TSEN2;TSEN15;CLP1;TSEN34	SEN54;SEN2;C1orf19 SEN15;HEAB;LENG5 SEN34	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5284	RNA endonuclease (SEN2deltaEx8, SEN54, CLP1)	Human	None	None	Q7Z6J9;Q8NCE0;Q92989	283989;80746;10978	MI:0004- affinity chromatography technologies	GO:0006396	RNA processing	11.04	RNA processing	15109492	tRNA-splicing endonuclease subunit Sen54 ;tRNA-splicing endonuclease subunit Sen2 ;Polyribonucleotide 5'-hydroxyl-kinase Clp1	TSEN54;TSEN2;CLP1	SEN54;SEN2;HEAB	None	None	TSEN2 is an alternatively spliced gene. SEN2deltaEx8 is the variant lacking exon 8. The complex formed with variant SEN2deltaEx8 does not properly cleave pre-tRNAs, although it does retain endonucleolytic activity. It is likely that the SEN2deltaEx8-containing complex is not a tRNA splicing endonuclease but is responsible for processing as yet unknown RNA substrates.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5285	TNF-alpha/NF-kappa B signaling complex 9	Human	None	None	O15111;P08238;Q13451;Q15653;Q16543	1147;3326;2289;4793;11140	MI:0676- tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	Inhibitor of nuclear factor kappa-B kinase subunit alpha;Heat shock protein HSP 90-beta;Peptidyl-prolyl cis-trans isomerase FKBP5 ;NF-kappa-B inhibitor beta ;Hsp90 co-chaperone Cdc37	CHUK;HSP90AB1;FKBP5;NFKBIB;CDC37	IKKA, TCF16;HSP90B HSPC2 HSPCB;AIG6 FKBP51;IKBB TRIP9;CDC37A	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5286	TNF-alpha/NF-kappa B signaling complex 10	Human	None	None	O15111;P07900;P08238;P40222;Q15653;Q16543;Q676U5;Q8IX12;Q9UHD2;Q9Y6K9	1147;3320;3326;200081;4793;11140;55054;None;29110;8517	MI:0676- tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	Inhibitor of nuclear factor kappa-B kinase subunit alpha;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;Alpha-taxilin;NF-kappa-B inhibitor beta ;Hsp90 co-chaperone Cdc37;Autophagy-related protein 16-1 ;Cell division cycle and apoptosis regulator protein 1 ;Serine/threonine-protein kinase TBK1 ;NF-kappa-B essential modulator	CHUK;HSP90AA1;HSP90AB1;TXLNA;NFKBIB;CDC37;ATG16L1;CCAR1;TBK1;IKBKG	IKKA, TCF16;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;TXLN;IKBB TRIP9;CDC37A;APG16L;CARP1 DIS;NAK;FIP3, NEMO	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5287	CDK4-CCND1 complex	Human	None	None	P11802;P24385	1019;595	MI:0019- coimmunoprecipitation	GO:0000082	G1/S transition of mitotic cell cycle	10.03.01.01.03	G1/S transition of mitotic cell cycle	15735718	Cyclin-dependent kinase 4 ;G1/S-specific cyclin-D1	CDK4;CCND1	;BCL1 PRAD1	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5288	P53-BARD1-Ku70 complex	Human	None	None	P04637;P12956;Q99728	7157;2547;580	MI:0019- coimmunoprecipitation	GO:0006915	apoptotic process	40.10.02	apoptosis (type I programmed cell death)	15782130	Cellular tumor antigen p53;X-ray repair cross-complementing protein 6 ;BRCA1-associated RING domain protein 1	TP53;XRCC6;BARD1	P53;G22P1;	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5291	Cd3e-Nck1-Mink1 complex	Mouse	None	None	P22646;Q8BMV0;Q9JM52	12501;17973;50932	MI:0019- coimmunoprecipitation	GO:0035556	intracellular signal transduction	30.01	cellular signalling	15608642	T-cell surface glycoprotein CD3 epsilon chain ;Putative uncharacterized protein ;Misshapen-like kinase 1	Cd3e;Nck1;Mink1	;;Map4k6 Mink	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5292	Ets2-Ini1-Smarce1-Smarca4 complex	Mouse	None	NIH 3T3 cells	O35845;O54941;P15037;Q9Z0H3	20586;57376;23872;20587	MI:0019- coimmunoprecipitation	GO:0045892	negative regulation of transcription, DNA-templated	11.02.03.04.03	transcription repression	12637547	Brg1 protein ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Protein C-ets-2;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	Smarca4;Smarce1;Ets2;Smarcb1	Brg1;Baf57;;Baf47 Ini1 Snf5l1	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5293	ETS2-SMARCA4-INI1 complex	Human	None	MCF-7 cells	P15036;P51532;Q12824	2114;6597;6598	MI:0019- coimmunoprecipitation	GO:0045892;GO:0005634	negative regulation of transcription, DNA-templated;nucleus	11.02.03.04.03;70.10	transcription repression;nucleus	12637547	Protein C-ets-2;Transcription activator BRG1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	ETS2;SMARCA4;SMARCB1	;BAF190A BRG1 SNF2B SNF2L4;BAF47, INI1, SNF5L1	None	None	Brg-1 and Ini1 could be detected in complex with ets-2 after tetracycline removal, but not in cells maintained in tetracycline.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5295	Cd247 homodimer complex	Mouse	None	None	P24161	12503	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0005886	intracellular protein transport;protein targeting;protein transport;plasma membrane	14.04;20.01.10;70.02	protein targeting, sorting and translocation;protein transport;eukaryotic plasma membrane / membrane attached	9218590	T-cell surface glycoprotein CD3 zeta chain	Cd247	Cd3z Tcrz	None	None	None	Mus musculus (Mouse)
5296	Cd3e homodimer complex	Mouse	None	None	P22646	12501	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0005886	intracellular protein transport;protein targeting;protein transport;plasma membrane	14.04;20.01.10;70.02	protein targeting, sorting and translocation;protein transport;eukaryotic plasma membrane / membrane attached	9218590	T-cell surface glycoprotein CD3 epsilon chain	Cd3e	None	None	None	None	Mus musculus (Mouse)
5301	Striatin-SG2NA-zinedin-caveolin1 complex	Rat	None	brain	P41350;P58404;P58405;P70483	25404;97387;114520;29149	MI:0006- anti bait coimmunoprecipitation;MI:0096- pull down	GO:0016192;GO:0019722;GO:0030182	vesicle-mediated transport;calcium-mediated signaling;neuron differentiation	20.09.07;30.01.09.03;43.03.13	vesicular transport (Golgi network, etc.);Ca2+ mediated signal transduction;neuron	11707266	Caveolin-1;Striatin-4 ;Striatin-3 ;Striatin	Cav1;Strn4;Strn3;Strn	Cav;Zin;Gs2na Sg2na;	None	Since Strn4 from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	Caveolin-1 may directly regulate the function of the proteins of the striatin family, by concentrating them within caveolin-enriched domains.	Rattus norvegicus (Rat);Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat)
5302	Rab3a-Rims2-Rapgef4 complex	Mouse	None	None	P63011;Q9EQZ6;Q9EQZ7	19339;56508;116838	MI:0096- pull down	GO:0006906;GO:0006887	vesicle fusion;exocytosis	20.09.07.27;20.09.16.09.03	vesicle fusion;exocytosis	11056535	Ras-related protein Rab-3A;Rap guanine nucleotide exchange factor 4 ;Regulating synaptic membrane exocytosis protein 2	Rab3a;Rapgef4;Rims2	;Cgef2 Epac2;Rab3ip2 Rim2	None	None	Rab3A-Rim2-cAMP-GEFII complex was formed in vitro when Rab3A was in the GTP-activated form. The authors showed that cAMP-GEFII is a direct target of cAMP in regulated exocytosis and is responsible for cAMP-dependent, PKA-independent exocytosis.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5308	Rb-NeuroD1-Ngfi-B complex	Mouse	None	AtT-20 cells	P12813;Q60867;Q64701	15370;18012;19650	MI:0006- anti bait coimmunoprecipitation; MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	15701640	Nuclear receptor subfamily 4 group A member 1 ;Neurogenic differentiation factor 1 ;Retinoblastoma-like protein 1	Nr4a1;Neurod1;Rbl1	Gfrp Hmr N10 Nur77;Neurod;None	None	None	Rb provides a bridge to bring together NGFI-B and NeuroD1 within a trimeric complex.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5309	Cd3g-Cd3e complex	Mouse	None	None	P11942;P22646	12502;12501	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0005886	intracellular protein transport;protein targeting;protein transport;plasma membrane	14.04;20.01.10;70.02	protein targeting, sorting and translocation;protein transport;eukaryotic plasma membrane / membrane attached	9218590	T-cell surface glycoprotein CD3 gamma chain ;T-cell surface glycoprotein CD3 epsilon chain	Cd3g;Cd3e	;	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse)
5310	Cd3d-Cd3g-Cd3e-Cd247 complex	Mouse	None	None	P04235;P11942;P22646;P24161	12500;12502;12501;12503	MI:0019- coimmunoprecipitation	GO:0023052;GO:0030217;GO:0005886	signaling;T cell differentiation;plasma membrane	30.01;43.03.07.02.01.02;70.02	cellular signalling;T-cell;eukaryotic plasma membrane / membrane attached	9218590	T-cell surface glycoprotein CD3 delta chain ;T-cell surface glycoprotein CD3 gamma chain ;T-cell surface glycoprotein CD3 epsilon chain ;T-cell surface glycoprotein CD3 zeta chain	Cd3d;Cd3g;Cd3e;Cd247	T3d;;;Cd3z Tcrz	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5311	Cd3g-Cd3e-Cd247-Canx complex	Mouse	None	None	P11942;P22646;P24161;P35564	12502;12501;12503;12330	MI:0019- coimmunoprecipitation	GO:0023052;GO:0030217;GO:0005886	signaling;T cell differentiation;plasma membrane	30.01;43.03.07.02.01.02;70.02	cellular signalling;T-cell;eukaryotic plasma membrane / membrane attached	9218590	T-cell surface glycoprotein CD3 gamma chain ;T-cell surface glycoprotein CD3 epsilon chain ;T-cell surface glycoprotein CD3 zeta chain ;Calnexin	Cd3g;Cd3e;Cd247;Canx	;;Cd3z Tcrz;	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5315	Munc13-1-Rim2-Rab3a complex	Rat	None	None	P63012;Q62768;Q9JIS1	25531;64829;116839	MI:0071- molecular sieving	GO:0005326;GO:0006836;GO:0048489;GO:0016079	neurotransmitter transporter activity;neurotransmitter transport;synaptic vesicle transport;synaptic vesicle exocytosis	20.01.26;20.09.16.09.05	neurotransmitter transport;synaptic vesicle exocytosis	16052212	Ras-related protein Rab-3A;Protein unc-13 homolog A ;Regulating synaptic membrane exocytosis protein 2	Rab3a;Unc13a;Rims2	;Unc13h1;Rim2	None	None	The results show that the N-terminal sequence of alpha-RIMs has a modular design that places Rab3A and Munc13-1 into close proximity, but not into competition.	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)
5317	LATS1-HTRA2-BIRC4 complex	Human	None	None	O43464;O95835;P98170	27429;9113;331	MI:0019- coimmunoprecipitation	GO:0008219	cell death	40.1	cell death	16007220	Serine protease HTRA2, mitochondrial ;Serine/threonine-protein kinase LATS1;E3 ubiquitin-protein ligase XIAP	HTRA2;LATS1;XIAP	OMI PRSS25;WARTS;API3, BIRC4, IAP3	None	None	WARTS forms a complex with XIAP while interacting with Omi and is potentially involved in the cell death through the inhibition of XIAP.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5318	DDEF1-CTTN-PXN complex	Human	None	MDA-MB-231 cells, 4T1-Luc cells	P49023;Q14247;Q9ULH1	5829;2017;50807	MI:0006- anti bait coimmunoprecipitation	GO:0007010	cytoskeleton organization	42.04	cytoskeleton/structural proteins	15719014	Paxillin;Src substrate cortactin;Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	PXN;CTTN;ASAP1	;EMS1;DDEF1 KIAA1249	None	None	This co-precipitation was only detected in highly invasive cells, such as MDA-MB-231 and 4T1/luc, but was undetectable in weak or noninvasive cells, such as MDA-MB-468 and MCF7, as well as in normal mammary epithelial cells. The authors describe that AMAP1 bridges cortactin and paxillin in highly invasive cells.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5319	CDH1-CKS1B complex	Human	None	None	P12830;P61024	999;1163	MI:0019- coimmunoprecipitation	GO:0000278	mitotic cell cycle	10.03.01.01	mitotic cell cycle	15014502	Cadherin-1;Cyclin-dependent kinases regulatory subunit 1	CDH1;CKS1B	CDHE UVO;CKS1	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5320	CDH1-SKP2 complex	Human	None	None	P12830;Q13309	999;6502	MI:0019- coimmunoprecipitation	GO:0000278	mitotic cell cycle	10.03.01.01	mitotic cell cycle	15014502	Cadherin-1;S-phase kinase-associated protein 2	CDH1;SKP2	CDHE UVO;FBXL1	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5321	Cebpa-Smarca2 complex	Mouse	None	liver	O35846;P53566	67155;12606	MI:0019-coimmunoprecipitation	GO:0000278;GO:0051726	mitotic cell cycle;regulation of cell cycle	10.03.01.01;10.03.01	mitotic cell cycle;mitotic cell cycle and cell cycle control	15716955	Brm protein;CCAAT/enhancer-binding protein alpha	Smarca2;Cebpa	brm;Cebp	None	None	The cEBP-alpha-Brm protein complex was detected in liver extracts from old isochronic parabionts but not from young isochronic parabionts.	Mus musculus (Mouse);Mus musculus (Mouse)
5330	Lef1-Tle1 complex	Mouse	None	None	P27782;Q62440	16842;21885	MI:0067- light scattering	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	15768032	Lymphoid enhancer-binding factor 1 ;Transducin-like enhancer protein 1	Lef1;Tle1	Lef-1;Grg1	None	None	In the absence of nuclear beta-catenin, Tcf/Lefs act as transcriptional repressors by binding to Groucho/TLE proteins.	Mus musculus (Mouse);Mus musculus (Mouse)
5331	YY1-MDM2-p53 complex	Human	None	None	P04637;P25490;Q00987	7157;7528;4193	MI:0029- cosedimentation through density gradients	GO:0016567;GO:0016579;GO:0043161;GO:0006511	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	14.07.05;14.13.01.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)	15210108	Cellular tumor antigen p53;Transcriptional repressor protein YY1;E3 ubiquitin-protein ligase Mdm2	TP53;YY1;MDM2	P53;INO80S;	None	None	YY1 is a potential cofactor for MDM2 in the regulation of p53 homeostasis. The physical interaction of YY1 with MDM2 appears to be important for efficient MDM2-p53 interaction in vivo, which in turn is necessary for p53 ubiquitination.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5333	Lef1-Tle1-Ctnnb1 complex	Mouse	None	None	P27782;Q02248;Q62440	16842;12387;21885	MI:0004- affinity chromatography technologies; MI:0027- cosedimentation	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	15768032	Lymphoid enhancer-binding factor 1 ;Catenin beta-1;Transducin-like enhancer protein 1	Lef1;Ctnnb1;Tle1	Lef-1;Catnb;Grg1	None	None	In the absence of nuclear beta-catenin, Tcf/Lefs act as transcriptional repressors by binding to Groucho/TLE proteins.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5337	ELMO1-DOCK1 complex	Human	None	None	Q14185;Q92556	1793;9844	MI:0007- anti tag coimmunoprecipitation	GO:0005515;GO:0007186;GO:0016477	protein binding;G-protein coupled receptor signaling pathway;cell migration	16.01;30.05.02.24;34.05.01	protein binding;G-protein coupled receptor signalling pathway;cell migration	12134158	Dedicator of cytokinesis protein 1 ;Engulfment and cell motility protein 1	DOCK1;ELMO1	;KIAA0281	None	None	Dock-ELMO complex functions as an unconventional two-part exchange factor for Rac.	Homo sapiens (Human);Homo sapiens (Human)
5341	ELMO1-DOCK2 complex	Human	None	None	Q92556;Q92608	9844;1794	MI:0007- anti tag coimmunoprecipitation	GO:0005515;GO:0007186;GO:0016477	protein binding;G-protein coupled receptor signaling pathway;cell migration	16.01;30.05.02.24;34.05.01	protein binding;G-protein coupled receptor signalling pathway;cell migration	12134158	Engulfment and cell motility protein 1 ;Dedicator of cytokinesis protein 2	ELMO1;DOCK2	KIAA0281;KIAA0209	None	None	Dock-ELMO complex functions as an unconventional two-part exchange factor for Rac.	Homo sapiens (Human);Homo sapiens (Human)
5342	ELMO1-DOCK1-RAC1 complex	Human	None	None	P63000;Q14185;Q92556	5879;1793;9844	MI:0007- anti tag coimmunoprecipitation	GO:0005515;GO:0007186;GO:0016477	protein binding;G-protein coupled receptor signaling pathway;cell migration	16.01;30.05.02.24;34.05.01	protein binding;G-protein coupled receptor signalling pathway;cell migration	12134158	Ras-related C3 botulinum toxin substrate 1 ;Dedicator of cytokinesis protein 1 ;Engulfment and cell motility protein 1	RAC1;DOCK1;ELMO1	TC25;;KIAA0281	None	None	Dock-ELMO complex functions as an unconventional two-part exchange factor for Rac.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5343	ELMO1-DOCK1-CRKII complex	Human	None	None	P46108;Q14185;Q92556	1398;1793;9844	MI:0007- anti tag coimmunoprecipitation	GO:0005515;GO:0007186;GO:0016477	protein binding;G-protein coupled receptor signaling pathway;cell migration	16.01;30.05.02.24;34.05.01	protein binding;G-protein coupled receptor signalling pathway;cell migration	16025104	Adapter molecule crk;Dedicator of cytokinesis protein 1 ;Engulfment and cell motility protein 1	CRK;DOCK1;ELMO1	None;;KIAA0281	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5344	Endocytic coat complex (11 subunits)	Rat	None	None	O08838;O08839;O35179;O35964;P11442;P17426;P21575;P62944;Q05140;Q5JC29;Q62910	60668;117028;116743;81922;54241;11771;140694;140670;65178;313474;85238	MI:0096- pull down	GO:0006897	endocytosis	20.09.18.09.01	endocytosis	9694653	Amphiphysin;Myc box-dependent-interacting protein 1 ;Endophilin-A1 ;Endophilin-A2 ;Clathrin heavy chain 1;AP-2 complex subunit alpha-1;Dynamin-1 ;AP-2 complex subunit beta ;Clathrin coat assembly protein AP180 ;Epidermal growth factor receptor pathway substrate 15 isoform B;Synaptojanin-1	Amph;Bin1;Sh3gl2;Sh3gl1;Cltc;Ap2a1;Dnm1;Ap2b1;Snap91;Eps15;Synj1	Amph1;Amph2 Amphl;Sh3d2a Sh3p4;Sh3p8;None;Adtaa Clapa1;Dnm;Clapb1;;;	None	Since Ap2a1 from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	Clathrin-mediated endocytosis involves cycles of assembly and disassembly of clathrin coat components and their accessory proteins. Dephosphorylation of rat brain extract was shown to promote the assembly of dynamin 1, synaptojanin 1, and amphiphysin into complexes that also included clathrin and AP-2.	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)
5345	Endocytic coat complex (7 subunits)	Rat	None	None	O08838;O08839;P11442;P17426;P21575;P62944;Q62910	60668;117028;54241;11771;140694;140670;85238	MI:0096- pull down	GO:0006897	endocytosis	20.09.18.09.01	endocytosis	9694653	Amphiphysin;Myc box-dependent-interacting protein 1 ;Clathrin heavy chain 1;AP-2 complex subunit alpha-1;Dynamin-1 ;AP-2 complex subunit beta ;Synaptojanin-1	Amph;Bin1;Cltc;Ap2a1;Dnm1;Ap2b1;Synj1	Amph1;Amph2 Amphl;None;Adtaa Clapa1;Dnm;Clapb1;	None	Since Ap2a1 from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	Clathrin-mediated endocytosis involves cycles of assembly and disassembly of clathrin coat components and their accessory proteins. Dephosphorylation of rat brain extract was shown to promote the assembly of dynamin 1, synaptojanin 1, and amphiphysin into complexes that also included clathrin and AP-2.	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)
5348	Pik3r5-Pik3cg complex	Mouse	None	None	Q5SW28;Q9JHG7	320207;30955	MI:0019- coimmunoprecipitation	GO:0030234;GO:0050790	enzyme regulator activity;regulation of catalytic activity	18.02.01	enzymatic activity regulation / enzyme regulator	15797027	Phosphoinositide 3-kinase regulatory subunit 5 ;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	Pik3r5;Pik3cg	;Pi3kg1	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse)
5358	GTP-Rho-Rhpn1-Ropn1 complex	Mouse	None	None	Q3TN61;Q61085;Q9ESG2	11848;14787;76378	MI:0096- pull down	GO:0006928	movement of cell or subcellular component	34.05	cell motility	10591629	Putative uncharacterized protein;Rhophilin-1 ;Ropporin-1	Rhoa;Rhpn1;Ropn1	;Grbp;	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5360	AGO2-FXR1-TNF(alpha)ARE-RNP complex	Human	None	None	P51114;Q9UKV8	8087;27161	MI:0030- cross-linking studies; MI:0004- affinity chromatography technologies; MI:0006- anti bait coimmunoprecipitation	GO:0006417;GO:0003723;GO:0005737	regulation of translation;RNA binding;cytoplasm	12.07;16.03.03;70.03	translational control;RNA binding;cytoplasm	17382880	Fragile X mental retardation syndrome-related protein 1 ;Protein argonaute-2	FXR1;AGO2	;EIF2C2	None	None	AGO2 functions as translational activator under serum-starved conditions.	Homo sapiens (Human);Homo sapiens (Human)
5361	Cell division cycle complex (CDC27, CDC16, ANAPC7)	Human	None	None	P30260;Q13042;Q9UJX3	996;8881;51434	MI:0019- coimmunoprecipitation	GO:0000278	mitotic cell cycle	10.03.01.01	mitotic cell cycle	15916961	Cell division cycle protein 27 homolog ;Cell division cycle protein 16 homolog ;Anaphase-promoting complex subunit 7	CDC27;CDC16;ANAPC7	ANAPC3 D0S1430E D17S978E;ANAPC6;APC7	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5363	Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)	Human	None	None	P24928;P35269;Q00839	5430;2962;3192	MI:0019- coimmunoprecipitation	GO:0006351	transcription, DNA-templated	11	TRANSCRIPTION	15711563	DNA-directed RNA polymerase II subunit RPB1;General transcription factor IIF subunit 1;Heterogeneous nuclear ribonucleoprotein U	POLR2A;GTF2F1;HNRNPU	POLR2;RAP74;HNRPU SAFA U21.1	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5365	Ripk2-Nod2 complex	Mouse	None	None	P58801;Q8K3Z0	192656;257632	MI:0019- coimmunoprecipitation	GO:0023052	signaling	30.01	cellular signalling	15620648	Receptor-interacting serine/threonine-protein kinase 2 ;Nucleotide-binding oligomerization domain-containing protein 2	Ripk2;Nod2	;Card15	None	None	Nod2 binding to R2 and Rip2 expression are necessary for Nod2 to Induce ubiquitinylation of Nemo protein.	Mus musculus (Mouse);Mus musculus (Mouse)
5366	Calm1-Ryr1 complex	Rat	None	None	F1LMY4;P62161	114207;None	MI:0040- electron microscopy	GO:0006937	regulation of muscle contraction	36.25.09.05	general muscle contraction regulation	11694536	Ryanodine receptor 1 ;Calmodulin	Ryr1;Calm1; Cal	;Calm, Cam, Cam1, Cam2, Camb, Cam3, Camc	None	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)
5367	THRB-RXRB complex	Human	None	None	P10828;P28702	7068;6257	MI:0096- pull down	GO:0009755	hormone-mediated signaling pathway	30.01.09.08	hormone mediated signal transduction	9346901	Thyroid hormone receptor beta ;Retinoic acid receptor RXR-beta	THRB;RXRB	ERBA2 NR1A2 THR1;NR2B2	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5368	Nfkb1-Rela complex	Mouse	None	None	P25799;Q04207	18033;19697	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	9738011	Nuclear factor NF-kappa-B p105 subunit ;Transcription factor p65	Nfkb1;Rela	;Nfkb3	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse)
5369	ATM homodimer complex	Human	None	None	Q13315	472	MI:0029- cosedimentation through density gradients	GO:0006281	DNA repair	10.01.05.01	DNA repair	15790808	Serine-protein kinase ATM	ATM	None	None	None	None	Homo sapiens (Human)
5370	ERAP1-ERAP2 complex	Human	None	None	Q6P179;Q9NZ08	64167;51752	MI:0019- coimmunoprecipitation	GO:0019882	antigen processing and presentation	36.25.16.03.05	antigen presentation / processing	15908954	Endoplasmic reticulum aminopeptidase 2 ;Endoplasmic reticulum aminopeptidase 1	ERAP2;ERAP1	LRAP;APPILS ARTS1 KIAA0525	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
